Year,Month,MFR,MODEL,DelayedFlights
2005,11,BOEING,737,4496
2005,11,BOEING,747,77
2005,11,BOEING,757,2098
2005,11,BOEING,767,592
2005,11,BOEING,777,96
2005,12,AIRBUS,A300B4,25
2005,12,AIRBUS,A319,2959
2005,12,AIRBUS,A320,5593
2005,12,AIRBUS,A321,121
2005,12,AIRBUS,A340,16
2005,12,BOEING,717,1372
2005,12,BOEING,737,6771
2005,12,BOEING,747,134
2005,12,BOEING,757,3438
2005,12,BOEING,767,1053
2005,12,BOEING,777,185
2006,1,AIRBUS,A300B4,38
2006,1,AIRBUS,A319,1869
2006,1,AIRBUS,A320,3826
2006,1,AIRBUS,A321,100
2006,1,AIRBUS,A340,10
2006,1,BOEING,717,735
2006,1,BOEING,737,4508
2006,1,BOEING,747,108
2006,1,BOEING,757,2385
2006,1,BOEING,767,703
2006,1,BOEING,777,117
2006,2,AIRBUS,A300B4,18
2006,2,AIRBUS,A319,1942
2006,2,AIRBUS,A320,3580
2006,2,AIRBUS,A321,112
2006,2,AIRBUS,A330,1
2006,2,AIRBUS,A340,5
2006,2,BOEING,717,614
2006,2,BOEING,737,4981
2006,2,BOEING,747,84
2006,2,BOEING,757,2371
2006,2,BOEING,767,657
2006,2,BOEING,777,95
2006,3,AIRBUS,A300B4,24
2006,3,AIRBUS,A319,2201
2006,3,AIRBUS,A320,3678
2006,3,AIRBUS,A321,126
2006,3,AIRBUS,A330,1
2006,3,AIRBUS,A340,10
2006,3,BOEING,717,638
2006,3,BOEING,737,5827
2006,3,BOEING,747,105
2006,3,BOEING,757,2298
2006,3,BOEING,767,691
2006,3,BOEING,777,139
2006,4,AIRBUS,A300B4,8
2006,4,AIRBUS,A319,1902
2006,4,AIRBUS,A320,2834
2006,4,AIRBUS,A321,99
2006,4,AIRBUS,A340,14
2006,4,BOEING,717,620
2006,4,BOEING,737,5272
2006,4,BOEING,747,117
2006,4,BOEING,757,1943
2006,4,BOEING,767,571
2006,4,BOEING,777,118
2006,4,BOEING,787,41
